"","Brand_Description","Price","Review_Count","Rating"
"1"," VersaceEros for Men 3.4 oz Eau de Toilette Spray  Eros3.4 Fl Oz (Pack of 1)Options:2 sizes4.7 out of 5 stars 17,858  10K+ bought in past month$62.40$62.40 ($18.35$18.35/Ounce) List: $98.00$98.00Save more with Subscribe & Save FREE delivery Sat, Mar 2 Or fastest delivery Thu, Feb 29 More Buying Choices$54.00(29 new offers)","62.","Eros","4.7 out of 5 stars"
"2"," VersaceEros by versace 0.17 oz (5 ml) EDT Splash Men Mini NEW IN BOX  Floral,Fresh0.17 Fl Oz (Pack of 1)Options:15 sizes, 32 scents4.5 out of 5 stars 85,224  1K+ bought in past month$9.47$9.47 ($55.71$55.71/Fl Oz) List: $14.38$14.38 FREE delivery Sat, Mar 2 on $35 of items shipped by AmazonOr fastest delivery Thu, Feb 29 More Buying Choices$9.24(18 new offers)","9.","Floral,Fresh","4.5 out of 5 stars"
"3"," VersaceEros for Men 6.7 oz Eau de Toilette Spray  Eros6.7 Fl Oz (Pack of 1)Options:7 sizes4.6 out of 5 stars 10,889  1K+ bought in past month$80.00$80.00 ($11.94$11.94/Fl Oz) Typical: $84.50$84.50Save more with Subscribe & Save FREE delivery Sat, Mar 2 Or fastest delivery Thu, Feb 29 More Buying Choices$69.00(50 new offers)","80.","Eros","4.6 out of 5 stars"
"4"," VersaceEros for Men 3.4 oz Eau de Parfum Spray  3.4 Fl Oz (Pack of 1)4.7 out of 5 stars 4,009  3K+ bought in past month$71.99$71.99 ($21.17$21.17/Fl Oz) List: $102.00$102.00FREE delivery Mar 4 - 7 Or fastest delivery Mar 1 - 6 More Buying Choices$69.00(19 new offers)","71.","3.4 Fl Oz (Pack of 1)","4.7 out of 5 stars"
"5"," VersaceEros Flame for Men 3.4 oz Eau de Parfum Spray  Floral3.4 Fl Oz (Pack of 1)Options:4 sizes, 5 scents4.5 out of 5 stars 14,690  2K+ bought in past month$63.99$63.99 ($18.82$18.82/Fl Oz) List: $102.00$102.00FREE delivery Fri, Mar 1 Only 11 left in stock - order soon.More Buying Choices$62.94(28 new offers)","63.","Floral","4.5 out of 5 stars"
"6"," VersaceEros Eau de Toilette Spray for Men, 1.7 Ounce  Fresh1.7 Fl Oz (Pack of 1)4.7 out of 5 stars 3,257  1K+ bought in past month$42.91$42.91 ($25.24$25.24/Fl Oz) Typical: $45.44$45.44Save more with Subscribe & Save FREE delivery Sat, Mar 2 Or fastest delivery Fri, Mar 1 More Buying Choices$38.00(26 new offers)","42.","Fresh","4.7 out of 5 stars"
"7"," VersaceEros Men's Mini EDT  0.17 Fl Oz (Pack of 1)4.0 out of 5 stars 24,414  7K+ bought in past month$8.99$8.99 ($52.88$52.88/Fl Oz) Typical: $9.99$9.99FREE delivery Fri, Mar 1 More Buying Choices$7.99(30 new offers)","8.","0.17 Fl Oz (Pack of 1)","4.0 out of 5 stars"
"8"," VersaceEros for Men Eau de Parfum Spray, 6.7 Ounce  Amber Woody6.7 Fl Oz (Pack of 1)Options:3 sizes, 3 scents4.7 out of 5 stars 1,896  800+ bought in past month$79.49$79.49 ($12.42$12.42/Fl Oz) List: $135.00$135.00 FREE delivery Fri, Mar 8 More Buying Choices$78.00(43 new offers)","79.","Amber Woody","4.7 out of 5 stars"
"9"," VersaceEros for Men 3.4 oz Eau de Toilette Spray  Citrus3.4 Fl Oz (Pack of 1)Options:5 sizes, 6 scents4.7 out of 5 stars 2,945  100+ bought in past month$51.00$51.00 ($15.00$15.00/Fl Oz) List: $98.00$98.00FREE delivery Feb 29 - Mar 1 Only 4 left in stock - order soon.","51.","Citrus","4.7 out of 5 stars"
"10"," VersaceEros Pour Femme Eau de Parfum Spray, 3.4 Ounce  Lemon3.38 Fl Oz (Pack of 1)4.6 out of 5 stars 2,801  800+ bought in past month$61.50$61.50 ($18.09$18.09/Fl Oz) List: $150.00$150.00FREE delivery Fri, Mar 1 Only 4 left in stock - order soon.More Buying Choices$52.00(36 new offers)","61.","Lemon","4.6 out of 5 stars"
