"X","Brand_Description","Price","Review_Count","Rating"
1," JordanJordan Mens Air Jordan 1 Low OG DM7866 162 Travis Scott - Reverse Mocha - Size  2.8 out of 5 stars 5  $1,845.00$1,845.00FREE delivery Feb 29 - Mar 1 ","1,845.","5","2.8 out of 5 stars"
2," Jordanmens Modern  3.6 out of 5 stars 3  No featured offers available$1,970.66(1 new offer)","","3","3.6 out of 5 stars"
3," +19NikeSb Dunk Low Civilist Mens Cz5123 001 - Size  4.1 out of 5 stars 34  No featured offers available$2,670.00(2 new offers)","","34","4.1 out of 5 stars"
4," JordanPreschool Air 1 Low OG SP PS DO5442 162 Travis Scott - Reverse Mocha - Size 1Y  $337.00$337.00FREE delivery Feb 29 - Mar 1 ","337.","",""
5," +7NikeMen's Retro 6""Hare Neutral Grey/Black-White (CT8529 062)  4.6 out of 5 stars 528  $609.00$609.00FREE delivery Feb 29 - Mar 1 ","609.","528","4.6 out of 5 stars"
6," +22Nikemens Air Jordan 4 Retro  4.5 out of 5 stars 499  $1,630.00$1,630.00FREE delivery Feb 29 - Mar 1 ","1,630.","499","4.5 out of 5 stars"
7," NikeJordan Mens Air Jordan 1 Low OG SP DM7866 140 Travis Scott x Fragment - Size  $1,627.00$1,627.00FREE delivery Feb 29 - Mar 1 ","1,627.","",""
8," JordanToddler Air 1 Low OG TD DO5441 001 Travis Scott - Black/Phantom - Size 9C  $195.00$195.00FREE delivery Feb 29 - Mar 1 ","195.","",""
9," +2 colors/patternsCREAAROCREAARO Hypebeast Sneaker Poster Unframed - Hypebeast Room Decor Shoes Poster for Boys Guys Men Room - AJ-Travis Scott - Wall Art Décor Aesthetic Cool Poster Shoes Painting 12x16 inch  4.6 out of 5 stars 228  100+ bought in past month$19.95$19.95 FREE delivery Sat, Mar 2 on $35 of items shipped by AmazonOr fastest delivery Thu, Feb 29 ","19.","228","4.6 out of 5 stars"
10," +126NikeMen's Basketball Shoe  4.5 out of 5 stars 1,737  200+ bought in past month$114.00$114.00 Typical: $134.50$134.50FREE delivery Thu, Feb 29 Prime Try Before You Buy","114.","1,737","4.5 out of 5 stars"
11," +18NikeMen's Stroke Running Shoe  4.5 out of 5 stars 34  $375.00$375.00FREE delivery Fri, Mar 1 Or fastest delivery Feb 28 - 29 ","375.","34","4.5 out of 5 stars"
12," +58Nikemens KD Trey 5 IX Basketball  4.4 out of 5 stars 2,652  $309.00$309.00FREE delivery Feb 29 - Mar 1 Prime Try Before You Buy","309.","2,652","4.4 out of 5 stars"
13," JordanMens Air Jordan 1 Low OG DM7866 162 Travis Scott - Reverse Mocha - Size 5  $2,021.00$2,021.00FREE delivery Feb 29 - Mar 1 ","2,021.","",""
14," SneakERASERSSneakERASERS Instant Sole and Sneaker Cleaner, Premium, Disposable, Dual-Sided Sponge for Cleaning & Whitening Shoe Soles (10 Pack)  4.0 out of 5 stars 8,605  20K+ bought in past month$11.99$11.99 ($1.20$1.20/Count)$10.79 with Subscribe & Save discount FREE delivery Sat, Mar 2 on $35 of items shipped by AmazonOr fastest delivery Thu, Feb 29 Small Business  Small BusinessShop products from small business brands sold in Amazon’s store. Discover more about the small businesses partnering with Amazon and Amazon’s commitment to empowering them. Learn more ","11.","8,605","4.0 out of 5 stars"
15," JordanJordan mens  4.8 out of 5 stars 9  $845.00$845.00FREE delivery Feb 29 - Mar 1 ","845.","9","4.8 out of 5 stars"
16," +18NikeMen's Air Force 1 '07 ""Hare Space Jam White/Lt Blue Fury-Wht (DJ7998 100)  4.6 out of 5 stars 1,873  $415.73$415.73 FREE delivery Sat, Mar 2 Or fastest delivery Fri, Mar 1 Prime Try Before You Buy","415.","1,873","4.6 out of 5 stars"
17," AIR JORDANJordan Mens Air Jordan 1 High OG SP DH3227 105 Travis Scott x Fragment - Size  No featured offers available$1,999.95(2 new offers)","","No featured offers available",""
18," NikeAir Force 1 Low/Cactus Jack 'Cactus Jack' - Cn2405-900 - Size  5.0 out of 5 stars 1  $765.00$765.00FREE delivery Feb 29 - Mar 1 ","765.","1","5.0 out of 5 stars"
19," NikeMens Air Trainer 1 SP DR7515 001 Travis Scott - Grey Haze - Size  3.9 out of 5 stars 12  $205.00$205.00FREE delivery Feb 29 - Mar 1 ","205.","12","3.9 out of 5 stars"
20," +39Nikemens Air Jordan 1 Retro High OG  4.5 out of 5 stars 449  $689.99$689.99FREE delivery Mar 1 - 4 ","689.","449","4.5 out of 5 stars"
21," Nikemens Air Force 1 Low Supreme  4.2 out of 5 stars 90  $181.74$181.74 FREE delivery Sat, Mar 2 Or fastest delivery Thu, Feb 29 Prime Try Before You Buy","181.","90","4.2 out of 5 stars"
22," Fun CostumesBack to the Future 2 Adult Light Up Shoes Universal Studios Officially Licensed  4.0 out of 5 stars 461  $153.99$153.99$6.59 delivery Mar 1 - 4 Or fastest delivery Wed, Feb 28 ","153.","461","4.0 out of 5 stars"
