"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"ThomDerd","22 October 2018","Venom is about the symbiotic relationship of man and alien, with the latter being the gross one. Funny at times, with a lovely performance from Tom Hardy -if you are a fan of mr Hardy, this is going to be entertaining for you.
First half goes very well in terms of setting the story and the venom universe, second part is more about action and there it has a few flaws but it is still fun and interesting to watch.
It is a cool view on the ""almost anti-hero"" venom/eddie character that kept my attention.
I had a good time watching this in the theaters and i ll definitely have a second view when it comes out in bray or dvd.
So, all in all its def not the best action film of all times or even of 2018...but dont have too high expectations and you will definitely like it.
8/10.","
            8/10
            "
"Ch4ndler_B1ng","12 June 2020","This movie is kind of a mixed bag. There are certain elements of it that I think are creative, but by far it is definitely one of the lesser Marvel films. The only thing I disagree with Martin Scorsese about is that ""Marvel movies are like theme park rides"" because there are ones like Endgame, Thor Ragnarok (my personal favourite Marvel movie), Civil War, The Avengers, Infinity War and many others that have a far deeper meaning and much more than just entertainment. Overall, Venom is one of those okay movies that doesn't deserve hate, the scenes where the Venom inside Tom Hardy's character is talking to him are pretty hilarious.73%","
            7/10
            "
"claudio_carvalho","2 December 2018","""Venom"" is a funny and entertaining film based on a Marvel antihero Venom with reasonable storyline, awesome special effects and weak and annoying villain performed by the awful Riz Ahmed. However, Tom Hardy has good performance in the role of the clumsy loser Eddie Brock and Michelle Williams complete the lead cast. This film is also the chance to see Stan Lee in his last cameo. My vote is seven.Title (Brazil): ""Venom""","
            7/10
            "
"Sleepin_Dragon","28 August 2020","I'll be honest I'm not the biggest fan of all things Marvel, but I am a fan of Tom Hardy.I thoroughly enjoyed it, and really do need to watch more Marvel, each time I watch one I enjoy it, it's a good story, it has plenty of action, and as you'd expect the acting is terrific.Hardy is always wonderful, he is so good here, he does a fine job with the accent. The effects are so good, Venom is a terrific creation, I loved the monologues, so good.I will visit the cinema for the second, this was great. 8/10.","
            8/10
            "
"GuanXing","3 October 2018","I don't know what's going on with all the negative reviews. People are really hard to please! 
I went to see that movie without any real expectations and I thoroughly enjoyed it. 
Tom Hardy does a fantastic jobVenom is an interesting and fun characterThe plot is fairly classic for this type of movie; nothing good or bad about itThe special effects are great - I loved the transformation scenes.Overall, I recommend it if you like the genre, want to have a good time with a dose of laughters and aren't overly hard to please.","
            9/10
            "
"TheLittleSongbird","17 October 2018","Do have a fondness for superhero films. 'Venom' also had talented people in the cast, Tom Hardy and Michelle Williams have both done great work in their careers, it looked interesting and found myself really fascinated to watch an origins story of one of the most interesting anti-heroes in the superhero universe.Watched 'Venom' with reasonably high expectations and with the willingness, as always, to judge the film for myself and form my own opinion. Was aware that it was not well liked by the critics, but part of me was really hoping to disagree with the thought that could a film with so much potential be worse than it actually looked? Have to agree with those that were left disappointed, while also not finding 'Venom' to be that bad. Am not though going to join in the irritatingly excessive critic bashing from people who really need to start learning the difference between fact and opinion.'Venom' does have good things. It is at its best in the scenes and chemistry between Eddie and Venom, which had fun and tension. It is when Venom arrives on screen too when the film properly starts to generate interest, after too long struggling to invest in the first act. The darker elements of the film are actually quite well done, having a dark grit and creepiness. It looks reasonably good, well designed and shot with slickness and atmosphere.The music has pleasant moments and fits well while there is some exciting action, especially the car chase sequence. Some of the effects are terrific. Tom Hardy is intensely charismatic, with Eddie/Venom being interesting and well contrasted characters, far more believable than Topher Grace in 'Spiderman 3'.However, the rest of the cast don't fare so greatly. Michelle Williams has never had a flatter character than here and is basically wasted in a development-free plot-device role. Riz Ahmed is far too anaemic for the one-dimensional villain that's both cartoonish and insipid. Of the characters, only Eddie and Venom engage and intrigue, the rest are flat. While some of the effects are terrific, others are terrible especially in the latter stages with the biggest offender being the rushed and clumsy climax.It is the script and story where 'Venom' fails most. The script is really clunky, especially with the forced and goofy humour that can be misplaced (Venom's disgust at taking the elevator was the one moment passing as funny) and the villain spouting dialogues and speeches that mean nothing. The less too about the soapy and cliché-ridden scenes featuring Hardy and Williams the better, they are bland and don't serve much point, and the Life Institute scenes should have had more clarity. Unfortunately, these scenes dominate the first act and makes it feel rather dull and ""taking too long to get going"". The story is tonally disjointed, too many tones that are very variable on their own and don't gel together, and very clunky. This is not a case of the film not trying, to me it came over as trying too hard in catering to everyone and throwing in too many ideas and elements and executing them very variably and too safely. For a story intended to be dark and violent, this seemed rather tame and held back.Summing up, a disappointment but not that bad. 5/10 Bethany Cox","
            5/10
            "
"kosmasp","2 May 2019","I get it, even the people who may already hit the not helpful button, before reading this. You see my rating and go: ""no way"". And I get it in the sense, that I haven't read the comics as much as many people who were expecting and hoping this would go ""R""-rated. Of course this stretches the boundaries of PG-13, because it is quite violent. But it will never be enough from what I heard from people who know the comics.So if that is something that is dear to your heart, again I get it. If you are just here to enjoy a comic book movie, there is quite a lot to enjoy. Tom Hardy really cherishes in his mania. Enjoy the Mayhem even if there was a sort of better ""inside voice"" movie last year called ""Upgrade"". So yes, if you only watch one of those make it Upgrade. But if you don't mind watching another, watch this too, because it ain't half bad","
            7/10
            "
"declan-98915","3 October 2018","First of all Iv just watched the movie a couple of hours ago and Iv just been reading a few reviews and I must have been watching a different movie to them cause I absolulty loved Venom!I love the relationship between Eddie and Venom, they proper cracked me up with some of the things they said and the whole room was laughing at loads of moments throughout the movie. Coming out of this movie makes me want to have a symbiote latch onto me if it's anything like the film. I loved the movie from end to finish, it was a hilarious, fun filled action ride!My only critic is I would have liked the finale to go on for a little longer but other than that I thought it was brilliant, I deffo reccomend everyone go see it.DONT Listen to other people's reviews, go watch it for yourself then decide if u liked it or not, I loved it!","
            7/10
            "
"SnoopyStyle","27 December 2018","In San Francisco, struggling reporter Eddie Brock (Tom Hardy) is ordered to do a puff piece on bio-tech mogul Carlton Drake (Riz Ahmed), the head of Life Foundation. Drake's spacecraft crashed after retrieving symbiotic lifeforms from a comet. Brock gets fired for asking tough questions to Drake and his fiancée Anne Weying (Michelle Williams) leaves him. Drake starts experimenting on people. Scientist Dora Skirth (Jenny Slate) turns whistle-blower and sneaks Brock into the research facility. There, Brock is exposed to the symbiote Venom.I had reservations about a Venom movie without Spider-Man. I can safely say that this is vastly superior to Spider-Man 3. The interesting aspect is the relationship between Brock and Venom. They really become actual people and I can feel for them. Venom tells Brock that they're both losers. It's a surprising character reveal and one with good potential for future movies. It's a great way to do this version of Venom given the limitations of the rights issue. At first, I was concerned about Hardy but he turns in a compelling performance. I do have an issue Michelle Williams' hair. I can't tell if they deliberately gave her a bad cut or a bad wig. It does work to downgrade her from Hollywood stardom. It does set up Venom to have an ongoing franchise which is its major hurdle.","
            8/10
            "
"krazy-mm","3 October 2018","Had a test screening tonight in cinema I work at, and couldn't wait to watch my all-time favorite Marvel (anti) hero on big screen.
Tom Hardy is great as always, that guy really can act. Can't think of anyone else who would be a better choice for the role but him.
Introduction was really long, but I was not bored for a second. When Venom comes in his true form - the party starts! Wish few action scenes were less like Michael Bay's style (hardly see anything) but the inner child in me was really happy for Venom's maniacal kicking and punching around. Venom's character is really well made visually - his walking, jumping and smashing are just like in the comic books - thumbs up for that!Hope they will release R rated version on BluRay so we can see more of Venom's craziness. Tom Hardy allegedly said best parts are cut out to make the movie more age appropriate, and I think that's a shame. Anyway, I will watch this movie once more in cinema, and buy it on BluRay. After all, it's Venom!Go and see it on big screen - hope you won't be disappointed!Oh, and there are TWO mid-credit scenes - one we all are waiting for and another one that...just go and see it for yourself!","
            8/10
            "
