"Movie_Title","Usernames","Reviewer_Date","Reviewer_Content","Rating"
"The Pope's Exorcist","tresm87","9 April 2023","Like clockwork we have at least 2 possession films each year around the same time. Easter and Halloween it seems. They're usually hit or miss with the same cliches strewn about with maybe some attempts at being slightly innovative. While this doesn't break away too much from the plot formula, Crowe's powerhouse performance does and amplifies the overall film to enticing levels. He has clearly found his late career niche with thrillers/horrors of late and it works extremely well. The scares are serviceable and the story is as well. Visually it's one of the best possession films I've seen in quite sometime with fantastic settings and terrific practical and cgi features. This doesn't mean the cliches don't hinder it at times but overall a very welcome film for the genre.","7/10"
"The Pope's Exorcist","Sleepin_Dragon","25 April 2023","Father Gabriele Amorth is dispatched by The Vatican to assist a family, who's youngest member has become possessed by a powerful Demon, Amorth unearths all manner of secrets, some of which The Vatican would prefer stayed secret.I'll be honest, I had low expectations for this film, let's be honest, how many possession films have been released in recent years, some low budget some high, one or two pretty good, the majority not white. The Pope's Exorcist actually rates quite highly.There are the moments and sequences that you'd expect, the jump scares, the dialogues, the explosions, they're all there, but there is so much more, the characters are all well developed and have more depth than you'd expect, it delivers scares and emotional kicks in equal measure.Father Amorth is the coolest Priest I've seen on the big screen, Russell Crowe was brilliant, he was tough, he was funny, he drove a Vespa, on my book, be rocked.This film gave me back some faith in a genre that I thought had long since run its course.8/10.","8/10"
"The Pope's Exorcist","LovesCinematography","20 August 2023","It's a double edged sword when an actor becomes super famous. On one side, they are extremely marketable and gain great roles. However, on the other side, we tend to see the actor in the movie and not the character which distracts from the experience of the story.This was not the case with this film. I'm not an accent specialist nor a native Italian speaker, but Russell's portrayable had me convinced.The story itself was exciting and intriguing. There were some nonsensical aspects of course. Its a very fictional film with its own share of contradictions that are noticeable. The authenticity of the Vatican traditions and language barriers might have been compromised, but as a normal viewer, none of it was recognizable thus not bothered.Overall I give this a 7. It's not going to leave a lasting impression on me, but It was a good to watch.","7/10"
"The Pope's Exorcist","hillman_mcfc","8 April 2023","I honestly went in their with really low expectations. I walked out of The Devil in Me as we've seen it all before it's the same formula and nothing ever will live up to the original Exorcist. I think I can name 3 good exorcism movies. The Exorcist, Exorcist 3 and the Exorcism of Emily Rose. The plot really gets moving fast! There's no real character building but what I will say is Russell Crowe really does play the part well. It's a mixture of a great performance and a parody..whatever it is it works! It doesn't really do anything new, we've seen it all before but for some reason or another this was better than expected. Give it a watch.","7/10"
"The Pope's Exorcist","skyhawk747","9 April 2023","Having not seen a decent horror surface for a long time, I was quite excited to go along and see Crowe's first horror flick.It says ""inspired by Vatican files"" so I'm not quite sure how much of this film is factual but It's your typical possession story. However, Russell Crowe plays a solid and strong performance which makes his character very likeable and most importantly believable. I also liked his characters sense of humour which Crowe played very well..Lot's of cliches, although it was a good watch but not very scary. The special effects and CGI for the most of the movie were very good but it did struggle during certain moments. The depth to the plot was good but I feel the other characters could have been stronger.Overall, this is a good movie and Crowe carried it very well. I'd recommend that you go if you like this genre.","8/10"
"The Pope's Exorcist","nathangoffnett","16 May 2023","I was pleasantly surprised at how much I enjoyed The Pope's Exorcist. After initially seeing the trailers, I wrote this movie off as a standard possession film that I have seen time and time again, and while most of that is still true, there is something about this film that made it a joy to watch.The film does not attempt to do anything particularly new or groundbreaking in the genre, but everything it has is handled with care and precision. The direction is fantastic, with a very quick pace that makes each scene have a sense of urgency as our characters attempt to perform the exorcism. There is particularly deep lore that is established within the church structure, with different factions and politics at play that add a slightly different dimension rather than just your run-of-the-mill ""insert random priest here.""My favorite aspect of the film is the acting. I think all of the adult characters do a tremendous job here. Russell Crowe kills it in every scene he is in and definitely gives an entirely different take on the exorcist character. Where most are intensely serious and melodramatic, Crowe adds a bit of whimsicalness and youth to the character that creates a calming presence to every intense scene. His rapport with Daniel Zovatto is excellent. The two really play off each other well and carried the film in many ways. Alex Essoe was great, although underutilized. The two children were okay. The boy gave a very stereotypical portrayal of a possessed child, and the daughter was flat in many ways.My only complaint about the entire film is its lack of originality and the story. Every single beat is something that we have seen before; there were no new or fresh ideas that were interjected into the story. The tension was fine, but nothing was particularly scary. Overall, if not for the film's fantastic director and cast, it would have been a bomb.Score: 63% 👍
Verdict: Decent.","6/10"
"The Pope's Exorcist","Eric266","21 August 2023","Russell Crowe plays the real life Pope's exorcist, Gabriele Amorth. Father Amorth passed away in 2006 and its probably a good thing. While this movie is spooky and entertaining, its a big, exaggerated, and I assume highly fictionalized, version of a time in Father Amorth's life.The Pope (Franco Nero) assigns Father Amorth to look into a potential demonic possession of a young boy in Spain. The boy, Henry (Peter DeSouza-Feighoney), his mother Julia (Alex Essoe) and his sister Amy (Laurel Marsden) are Americans who move to Spain after the death of Henry's father in a car accident. They are living in an old Spanish abbey that is the only think Julia's husband left them when he died in a car accident the year before. A local priest, Father Esquible (Daniel Zovatto) is out of his element, but is enlisted by Amorth to assist in the exorcism.The possession tropes are all here. Contortions, scary voices, lights going on and off, crosses turning upside down, people getting thrown around, possessed people spewing fluids and cursing, climbing walls and crawling around like spiders. There is a mystery about the origin of the abbey dealing with the church's role in the Inquisition.There is some gratuitous nudity that just felt out of place in this movie. I mean, I like naked breasts as much as the next guy, but it just felt a bit uneccessary.Crowe does a really good job as Father Amorth. He has the right balance of faith, weariness and conviction for someone who faces evil of all kinds. Zovatto's performance as Father Esquibel, to me, was the highlight of the film. He keeps everything grounded, despite the bizarre happenings. All three of the actors playing the family members are cookie-cutter performances and don't really add or subtract from the proceedings. There are some genuine chills in this move and a few scary moments. I enjoyed it and its crisp runtime kept it from getting boring. Still, I was hoping for a bit more story and less stunt work. I mean how many times do we need to see someone get thrown across a room into a mirrored wall and get right back up? One character, while wrestling with a possessed child, gets their head smashed through a ceramic sink with no effect. I might have tapped out and sought some aspirin.Enjoy it for what it is. Then go watch the Exorcist again.","6/10"
"The Pope's Exorcist","honeybloggs-69648","21 May 2023","Critics said that Russell Crowe's performance as an Italian was dismal . I strongly disagree . He captured the essence of an Italian man . His accent was excellent
I liked the way he delivered his lines and the way he showed his sense of humour . He was fantastic !The other actors were great too ! . The Set was brilliantThis film could have been spectacular .However it was marred by the boy. The little boy over acted his role . It looked ridiculous and laughable . It is not the child's fault . It was the casting director's fault and the film directors fault . The little boy had the 'stage school presence' about him . These kids who go to stage schools over emphasise everything as they are taught to . They are trained for roles in the Theatre where everything is over dramatised . So when these kids appear in films , it doesn't work . UNLESS the film director can obliterate that stage school training and give these kids a fresh approach and train them in a totally different way so they can act well in films .Also the voice the boy had as a demon was not synched properly ! It looked pathetic! . He looked like he was playing a joke on the Priests and would burst into a fit of giggles at any time . How could anyone involved in the film think that sounded scary and authentic! It made the film into a comedy horror ! I was laughing .If the Casting Director had chosen the right boy to play the part the film would have been fantastic . It is still a good movie and worth watching
The twist at the End is great and unexpected . Loved that! .Some people in this review section said it's been done before . Well it's very hard to get new concept in horror films. I don't care if it was done before as long as it's done well !","6/10"
"The Pope's Exorcist","RachelMary2","14 April 2023","Oh dear. I'm not sure if the makers of this movie were going for comedy horror or something else but it didn't really work. It was basically a film of silly voices. There wasn't enough tension to hold my engagement or enough story to keep me interested.Some of the effects were good but nothing I haven't seen before. Russell Crowe was enjoyable to watch but it was difficult to take his character seriously and I'm not sure as a viewer I was supposed to. It was all just a bit too silly for my taste. I didn't believe the setting, it was too fantastical and the family characters were more like caricatures. It sort of hinted at a story for them but that didn't really go anywhere. So, superfluous and silly but not awful.","5/10"
"The Pope's Exorcist","jp_91","6 April 2023","After seeing the trailer for ""The Pope's Exorcist"", I thought it would be another one of those lousy exorcism movies that have been released in recent years, but to my surprise I found a good, entertaining movie that enjoys some clichés of the exorcism movie theme. The performances are good, Russell Crowe achieves an interesting performance, while Franco Nero offers a successful performance. The script with the already boring legend: ""based on true events"", is entertaining and has innovative moments, other interesting ones and a funny appearance of clichés, the dialogues are usually plausible but some jokingly are absurd. The soundtrack has potential and the cinematography triumphs with its chiaroscuro, achieving a good atmosphere together with the filming locations. The downside are the digital special effects that look fake in several scenes, but the gore and some old-school effects are welcome. ""The Pope's Exorcist"" isn't the best exorcism movie ever made, but it manages to stand out from most that have touched on this subject in recent years.","9/10"
